,match_id,game_id,team_id,rating,acs,kill,death,assist,kast,adr,hs,fk,fd
124,542269,233474,1034,1.061,192.9,9.8,9.5,4.7,74.6,133.6,26.9,1.2,1.8
125,542269,233474,7386,0.9109999999999999,179.2,9.5,9.8,4.0,68.6,109.9,29.4,1.8,1.2
126,542270,233475,1034,1.024,211.4,9.3,8.8,4.0,73.1,133.7,24.8,1.0,1.6
127,542270,233475,2593,1.003,191.5,8.8,9.3,4.2,67.0,125.5,28.7,1.6,1.0
128,542270,233476,1034,1.1,198.3,7.0,4.8,2.1,75.2,131.5,36.7,0.7,1.1
129,542270,233476,2593,0.796,147.8,4.5,7.1,1.4,62.4,101.9,25.7,1.1,0.7
130,542272,233478,1034,1.389,242.3,7.2,4.0,2.6,89.2,144.3,25.6,1.0,0.6
131,542272,233478,2593,0.5549999999999999,134.8,4.0,7.2,1.5,48.4,89.4,37.0,0.6,1.0
132,542272,233479,1034,1.059,193.2,7.0,6.0,2.6,75.4,117.9,24.4,0.9,1.0
133,542272,233479,2593,0.9179999999999999,188.5,6.0,7.0,2.4,66.6,125.0,28.3,1.0,0.9
134,542272,233480,1034,0.9470000000000001,181.3,8.7,8.8,3.1,69.3,120.1,30.6,1.2,1.6
135,542272,233480,2593,1.025,180.9,8.8,8.7,3.4,63.8,117.8,25.5,1.6,1.2
136,542272,233481,1034,0.9550000000000001,195.3,7.1,7.9,3.1,71.2,119.6,22.4,0.9,1.2
137,542272,233481,2593,1.061,210.2,7.9,7.1,3.4,74.0,136.9,30.4,1.2,0.9
138,542272,233482,1034,1.1640000000000001,224.0,7.4,5.8,3.6,85.9,146.5,23.2,1.1,0.7
139,542272,233482,2593,0.798,179.0,5.8,7.4,2.7,69.2,117.0,23.9,0.7,1.1
140,542273,233483,8185,0.78,158.7,5.4,7.5,2.2,56.8,100.6,25.3,0.6,1.4
141,542273,233483,11058,1.233,223.5,7.5,5.5,4.1,76.2,143.9,26.5,1.4,0.6
142,542273,233484,8185,1.046,206.4,8.5,7.6,3.7,73.0,126.9,34.6,1.4,0.9
143,542273,233484,11058,0.923,191.5,7.6,8.5,2.8,70.9,125.3,29.5,0.9,1.4
144,542273,233485,8185,1.149,200.6,7.6,5.3,3.4,74.3,123.9,27.9,1.3,0.7
145,542273,233485,11058,0.805,167.6,5.3,7.6,2.2,66.5,103.0,24.1,0.7,1.3
146,542274,233486,1001,1.348,234.5,7.3,4.5,2.8,88.8,144.4,25.4,1.1,0.6
147,542274,233486,14419,0.6649999999999999,156.1,4.5,7.3,2.9,64.3,111.22222222222223,33.666666666666664,0.6,1.1
148,542274,233487,1001,0.51,128.0,3.8,6.8,1.2,50.0,82.9,27.2,0.5,1.1
149,542274,233487,14419,1.452,239.0,6.8,3.8,3.0,84.3,153.0,30.5,1.1,0.5
150,542274,233488,1001,1.003,200.7,7.7,8.3,3.3,70.4,126.6,37.3,0.9,1.3
151,542274,233488,14419,1.009,207.9,8.1,7.7,4.3,68.9,132.1,24.3,1.3,0.9
152,542276,233489,7386,1.159,211.1,8.5,6.7,2.2,77.3,141.7,32.8,1.6,0.7
153,542276,233489,8185,0.818,160.4,6.7,8.5,2.0,54.4,107.6,26.9,0.7,1.6
154,542276,233490,7386,0.9879999999999999,193.6,9.1,9.8,4.7,68.6,126.4,24.0,1.5,1.3
155,542276,233490,8185,0.9880000000000001,201.3,9.8,9.1,3.8,67.7,132.4,32.1,1.3,1.5
156,542276,233491,7386,0.977,183.4,7.1,7.4,4.3,77.4,119.6,27.8,1.2,1.0
157,542276,233491,8185,0.9890000000000001,186.7,7.4,7.1,2.6,68.2,121.2,22.8,1.0,1.2
158,542277,233492,624,1.053,209.0,8.6,7.8,5.1,75.0,129.7,24.0,1.3,1.1
159,542277,233492,1001,0.975,189.7,7.8,8.6,2.7,69.2,126.3,32.6,1.1,1.3
160,542277,233493,624,0.917,203.0,8.0,7.8,3.1,68.8,130.0,27.8,1.0,1.2
161,542277,233493,1001,1.06,201.6,7.8,8.0,3.3,73.0,125.8,34.2,1.2,1.0
162,542277,233494,624,1.365,243.4,7.1,5.2,3.9,79.4,155.8,27.2,0.6,1.1
163,542277,233494,1001,0.8,187.0,5.2,7.1,2.7,66.5,128.4,36.1,1.1,0.6
164,542278,233495,624,0.938,188.0,9.0,10.0,3.2,66.6,127.5,31.7,1.3,1.5
165,542278,233495,8185,1.056,206.1,10.0,9.0,3.0,70.8,135.2,34.4,1.5,1.3
166,542278,233496,624,0.727,157.2,5.7,8.0,1.6,60.4,106.0,29.0,0.9,1.2
167,542278,233496,8185,1.252,210.8,8.0,5.7,3.4,73.4,137.0,31.9,1.2,0.9
168,542279,233498,2593,0.9,167.6,6.0,7.6,2.1,64.0,112.0,38.3,0.9,1.2
169,542279,233498,8185,1.041,193.5,7.6,6.0,1.4,71.1,128.8,31.8,1.2,0.9
170,542279,233499,2593,1.3519999999999999,228.1,6.8,3.8,1.8,78.3,148.1,35.3,1.1,0.5
171,542279,233499,8185,0.5740000000000001,125.5,3.8,6.8,1.2,50.9,87.6,34.4,0.5,1.1
172,542279,233500,2593,1.058,194.7,8.1,7.4,3.2,69.9,125.3,35.8,1.1,1.3
173,542279,233500,8185,0.9339999999999999,182.8,7.4,8.1,3.5,68.5,117.3,33.3,1.3,1.1
174,542279,233501,2593,1.16,209.0,6.7,4.2,2.3,71.9,131.9,30.6,1.0,0.7
175,542279,233501,8185,0.796,163.9,4.2,6.7,2.0,60.6,99.3,22.3,0.7,1.0
